nohup: ignoring input
进度: 完成 5 个, 失败 0 个
进度: 完成 10 个, 失败 0 个
进度: 完成 15 个, 失败 0 个
进度: 完成 17 个, 失败 3 个
进度: 完成 17 个, 失败 8 个
进度: 完成 17 个, 失败 13 个
进度: 完成 17 个, 失败 18 个
进度: 完成 17 个, 失败 23 个
进度: 完成 17 个, 失败 28 个
进度: 完成 17 个, 失败 33 个
进度: 完成 17 个, 失败 38 个
进度: 完成 17 个, 失败 43 个
进度: 完成 17 个, 失败 48 个
进度: 完成 17 个, 失败 53 个
进度: 完成 17 个, 失败 58 个
进度: 完成 17 个, 失败 63 个
进度: 完成 17 个, 失败 68 个
进度: 完成 17 个, 失败 73 个
进度: 完成 17 个, 失败 78 个
进度: 完成 17 个, 失败 83 个
进度: 完成 17 个, 失败 88 个
进度: 完成 17 个, 失败 93 个
进度: 完成 17 个, 失败 98 个
进度: 完成 17 个, 失败 103 个
进度: 完成 17 个, 失败 108 个
进度: 完成 17 个, 失败 113 个
进度: 完成 17 个, 失败 118 个
进度: 完成 17 个, 失败 123 个
进度: 完成 17 个, 失败 128 个
进度: 完成 17 个, 失败 133 个
进度: 完成 17 个, 失败 138 个
进度: 完成 17 个, 失败 143 个
进度: 完成 17 个, 失败 148 个
进度: 完成 17 个, 失败 153 个
进度: 完成 17 个, 失败 158 个
进度: 完成 17 个, 失败 163 个
进度: 完成 17 个, 失败 168 个
进度: 完成 17 个, 失败 173 个
进度: 完成 17 个, 失败 178 个
进度: 完成 17 个, 失败 183 个
进度: 完成 17 个, 失败 188 个
进度: 完成 17 个, 失败 193 个
进度: 完成 17 个, 失败 198 个
进度: 完成 17 个, 失败 203 个
进度: 完成 17 个, 失败 208 个
进度: 完成 18 个, 失败 212 个
进度: 完成 18 个, 失败 217 个
进度: 完成 18 个, 失败 222 个
进度: 完成 18 个, 失败 227 个
进度: 完成 18 个, 失败 232 个
进度: 完成 18 个, 失败 237 个
进度: 完成 18 个, 失败 242 个
进度: 完成 18 个, 失败 247 个
进度: 完成 18 个, 失败 252 个
进度: 完成 18 个, 失败 257 个
进度: 完成 18 个, 失败 262 个
进度: 完成 18 个, 失败 267 个
进度: 完成 18 个, 失败 272 个
进度: 完成 18 个, 失败 277 个
进度: 完成 18 个, 失败 282 个
进度: 完成 18 个, 失败 287 个
进度: 完成 18 个, 失败 292 个
进度: 完成 18 个, 失败 297 个
进度: 完成 18 个, 失败 302 个
进度: 完成 18 个, 失败 307 个
进度: 完成 18 个, 失败 312 个
进度: 完成 18 个, 失败 317 个
进度: 完成 18 个, 失败 322 个
进度: 完成 18 个, 失败 327 个
进度: 完成 18 个, 失败 332 个
进度: 完成 18 个, 失败 337 个
进度: 完成 18 个, 失败 342 个
进度: 完成 18 个, 失败 347 个
进度: 完成 18 个, 失败 352 个
进度: 完成 18 个, 失败 357 个
进度: 完成 18 个, 失败 362 个
进度: 完成 18 个, 失败 367 个
进度: 完成 18 个, 失败 372 个
进度: 完成 18 个, 失败 377 个
进度: 完成 18 个, 失败 382 个
进度: 完成 18 个, 失败 387 个
进度: 完成 18 个, 失败 392 个
进度: 完成 18 个, 失败 397 个
进度: 完成 18 个, 失败 402 个
进度: 完成 18 个, 失败 407 个
进度: 完成 18 个, 失败 412 个
进度: 完成 18 个, 失败 417 个
进度: 完成 18 个, 失败 422 个
进度: 完成 18 个, 失败 427 个
进度: 完成 18 个, 失败 432 个
进度: 完成 18 个, 失败 437 个
进度: 完成 18 个, 失败 442 个
进度: 完成 18 个, 失败 447 个
进度: 完成 18 个, 失败 452 个
进度: 完成 18 个, 失败 457 个
进度: 完成 18 个, 失败 462 个
进度: 完成 18 个, 失败 467 个
进度: 完成 19 个, 失败 471 个
进度: 完成 19 个, 失败 476 个
进度: 完成 19 个, 失败 481 个
进度: 完成 19 个, 失败 486 个
进度: 完成 19 个, 失败 491 个
进度: 完成 19 个, 失败 496 个
进度: 完成 19 个, 失败 501 个
进度: 完成 19 个, 失败 506 个
进度: 完成 19 个, 失败 511 个
进度: 完成 19 个, 失败 516 个
进度: 完成 19 个, 失败 521 个
进度: 完成 19 个, 失败 526 个
进度: 完成 19 个, 失败 531 个
进度: 完成 19 个, 失败 536 个
