receptor,experiment,best_docking_score,qed,sa,smiles,generation,file
5ht1b,exp_0060,-14.100000,0.510469,3.592512,N=[N+]=Nc1ccc2c3c(cccc13)C(=O)N(C[C@H]1CC[C@H](O)C1)C2=O,generation_1,output_runs/exp_0060/5ht1b/generation_1/docking_results/final_scored.smi
5ht1b,exp_0038,-13.500000,0.620856,4.541937,CC1(C)CC(NC(=O)c2ccccc2CC(C2CCCCCC2)N2C[C@@H]3CC[C@@H]2CN3)C1,generation_9,output_runs/exp_0038/5ht1b/generation_9/docking_results/final_scored.smi
5ht1b,exp_0095,-13.500000,0.588401,2.992096,O=C(Nc1ccccc1)N1CCC(C2=C(c3cccc(C(=O)n4cc(F)cnc4=O)c3)CNC2)CC1,generation_10,output_runs/exp_0095/5ht1b/generation_10/docking_results/final_scored.smi
5ht1b,exp_0147,-13.500000,0.555110,2.918102,[H]C1=C(c2c([H])c([H])c3c4c(c([H])c([H])c([H])c24)C(=O)N(C(=O)N([H])c2c([H])c([H])c([H])c(C#N)c2C([H])([H])[H])C3=O)C(=O)C([H])([H])C([H])([H])C1([H])[H],generation_10,output_runs/exp_0147/5ht1b/generation_10/docking_results/final_scored.smi
5ht1b,exp_0016,-13.400000,0.510184,4.207698,[H]C1=C(C#N)C([H])([H])C([H])([H])N(C(=O)c2nc(C([H])([H])c3c([H])c([H])c(N([H])C4([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]4([H])C([H])([H])[H])c(-c4nnc(N([H])[H])o4)c3[H])c([H])c([H])c2[H])C1([H])[H],generation_8,output_runs_test/exp_0016/5ht1b/generation_8/docking_results/final_scored.smi
5ht1b,exp_0016,-13.300000,0.561918,4.034273,CC1CN(c2cc3c(cn2)CCN3)CCC1C1=C(c2ccc3c4c(cccc24)C(=O)N3)CCOC1,generation_10,output_runs/exp_0016/5ht1b/generation_10/docking_results/final_scored.smi
5ht1b,exp_0015,-13.200000,0.636800,3.908038,C#CCN1CCN(C(=O)C2Cc3c([nH]c4c(-c5nn[nH]n5)c(C)ccc34)C(C)C2)CC1,generation_5,output_runs_test/exp_0015/5ht1b/generation_5/docking_results/final_scored.smi
5ht1b,exp_0060,-13.100000,0.528567,3.871430,[H]OC(=O)N1C(=O)c2c([H])c(C([H])([H])c3([H])c([H])([H])c(-c4nnn([H])n4)c([H])n(C(=O)c4c([H])c([H])c(F)c([H])c4[H])c3([H])[H])c(C#N)c([H])c2OC([H])([H])C1([H])[H],generation_9,output_runs_test/exp_0060/5ht1b/generation_9/docking_results/final_scored.smi
5ht1b,exp_0021,-13.100000,0.541356,3.838862,C[C@H]1C[C@@H]1NC(=O)c1cccc(-c2nnnn2C2CCN(C(=O)N3CCC(c4ccc(C#N)cn4)CC3)C2)c1,generation_8,output_runs/exp_0021/5ht1b/generation_8/docking_results/final_scored.smi
5ht1b,exp_0117,-13.100000,0.561484,3.198073,[H]OC1=Nc2c([H])c([H])c([H])c([H])c2N(C(=O)c2c([H])c([H])c([H])c(-c3c([H])c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c3[H])c2[H])C12C([H])([H])C([H])([H])C([H])([H])C2([H])[H],generation_7,output_runs/exp_0117/5ht1b/generation_7/docking_results/final_scored.smi
